date,id
2016-01-01,3169
2016-01-01,3295
2016-01-01,2967
2016-01-01,3359
2016-01-01,2836
2016-01-01,3395
2016-01-01,3361
2016-01-01,3199
2016-01-01,3418
2016-01-01,3340
2016-01-01,2795
2016-01-01,3249
2016-01-01,3263
2016-01-01,3424
2016-01-01,3264
2016-01-01,3338
2016-01-01,3336
2016-01-01,3129
2016-01-01,3431
2016-01-01,3416
2016-01-01,3430
2016-01-01,3334
2016-01-01,2933
2016-01-01,3331
2016-01-01,3362
2016-01-01,3265
2016-01-01,2943
2016-01-01,3330
2016-01-01,3326
2016-01-01,3253
2016-01-01,3036
2016-01-01,3411
2016-01-01,3410
2016-01-01,3439
2016-01-01,3266
2016-01-01,3441
2016-01-01,3323
2016-01-01,2917
2016-01-01,3291
2016-01-01,3319
2016-01-01,3136
2016-01-01,3137
2016-01-01,3422
2016-01-01,3042
2016-01-01,3021
2016-01-01,3020
2016-01-01,3143
2016-01-01,3110
2016-01-01,3114
2016-01-01,2800
2016-01-01,3268
2016-01-01,2778
2016-01-01,3113
2016-01-01,3421
2016-01-01,3353
2016-01-01,3352
2016-01-01,3140
2016-01-01,3419
2016-01-01,2974
2016-01-01,3433
2016-01-01,3313
2016-01-01,2918
2016-01-01,3308
2016-01-01,2966
2016-01-01,2834
2016-01-01,3029
2016-01-01,3172
2016-01-01,3306
2016-01-01,3183
2016-01-01,3303
2016-01-01,2992
2016-01-01,3408
2016-01-01,3463
2016-01-01,3394
2016-01-01,3040
2016-01-01,3191
2016-01-01,3284
2016-01-01,3405
2016-01-01,3293
2016-01-01,3173
2016-01-01,3397
2016-01-01,3294
2016-01-01,3464
2016-01-01,3304
2016-01-01,3150
2016-01-01,2851
2016-01-01,3015
2016-01-01,3016
2016-01-01,2940
2016-01-01,3175
2016-01-01,3280
2016-01-01,3287
2016-01-01,3152
2016-01-01,3380
2016-01-01,3153
2016-01-01,3383
2016-01-01,3154
2016-01-01,3155
2016-01-01,3288
2016-01-01,3381
2016-01-01,3382
2016-01-01,3057
2016-01-01,2838
2016-01-01,3396
